SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UTD_NUM,UTD_PCT,PME_NUM,PME_PCT,PBE_NUM,PBE_PCT,REPORTED
6097679,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,CESAR CHAVEZ MIDDLE, ,,,,,,,N
0126763,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,DECOTO SCHOOL FOR INDEPENDENT STUDY, ,,,,,,,N
0130484,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,CROSSROADS HIGH (ALTERNATIVE), ,,,,,,,N
6102917,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,NEWARK JUNIOR HIGH,473,471,100,0,0,2,0,Y
0125856,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,100 BLACK MEN OF THE BAY AREA COMMUNITY, ,,,,,,,N
0112771,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ALLIANCE ACADEMY,127,127,100,0,0,0,0,Y
6113807,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,AMERICAN INDIAN PUBLIC CHARTER, ,,,,,,,N
0114363,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II, ,,,,,,,N
6118608,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASCEND,47,47,100,0,0,0,0,Y
0109819,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE BERKLEY MAYNARD ACADEMY, ,,,,,,,N
0120188,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE ERES ACADEMY,28,28,100,0,0,0,0,Y
0118224,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,90,90,100,0,0,0,0,Y
0130666,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE LIONEL WILSON COLLEGE PREPARATORY ACADEMY, ,,,,,,,N
0108803,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE MILLSMONT ACADEMY, ,,,,,,,N
0106906,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BAY AREA TECHNOLOGY,46,45,98,1,2,0,0,Y
6056998,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BRET HARTE MIDDLE,159,159,100,0,0,0,0,Y
6057004,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CLAREMONT MIDDLE,128,128,100,0,0,0,0,Y
0112797,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COLISEUM COLLEGE PREP ACADEMY,68,68,100,0,0,0,0,Y
0114454,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS,26,26,100,0,0,0,0,Y
0100123,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND LEADERSHIP ACADEMY,20,20,100,0,0,0,0,Y
6057061,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EDNA BREWER MIDDLE,212,212,100,0,0,0,0,Y
